Date;Open;High;Low;Close; Volume 
05/12/1984;0.0989283;0.0989283;0.0989283;0.0989283; $30.842.712.893.935,00 
06/12/1984;0.103814;0.104432;0.103814;0.103814; $37.220.431.544.297,00 
07/12/1984;0.103814;0.107771;0.102896;0.103494; $58.014.353.482.659,00 
10/12/1984;0.103494;0.103494;0.101391;0.101391; $1.307.865.308.004,00 
11/12/1984;0.101391;0.102896;0.100165;0.100165; $14.521.325.558.363,00 
12/12/1984;0.100165;0.100165;0.0968047;0.0968047; $12.913.105.560.209,00 
13/12/1984;0.0977319;0.0995464;0.0977319;0.0977319; $78.414.091.431.741,00 
14/12/1984;0.0977319;0.101071;0.0977319;0.100165; $11.278.600.229.977,00 
17/12/1984;0.102597;0.103494;0.102597;0.102597; $14.692.138.389.682,00 
18/12/1984;0.108689;0.108987;0.108689;0.108689; $39.953.355.197.126,00 
19/12/1984;0.108689;0.108987;0.104432;0.104432; $37.246.707.548.008,00 
20/12/1984;0.104432;0.106236;0.103814;0.103814; $16.405.473.636.846,00 
21/12/1984;0.103814;0.104432;0.101391;0.102597; $14.534.465.616.471,00 
24/12/1984;0.104432;0.10473;0.104432;0.104432; $79.228.753.769.832,00 
26/12/1984;0.10473;0.105937;0.10473;0.10473; $78.808.321.260.416,00 
27/12/1984;0.105338;0.105937;0.105338;0.105338; $11.586.052.373.044,00 
28/12/1984;0.105338;0.109586;0.10473;0.108987; $1.939.593.043.213,00 
31/12/1984;0.110513;0.111121;0.110513;0.110513; $24.373.019.955.416,00 
02/01/1985;0.110513;0.110513;0.105937;0.105937; $20.565.305.429.613,00 
03/01/1985;0.107771;0.110513;0.107771;0.107771; $19.545.711.607.477,00 
04/01/1985;0.107771;0.108369;0.106236;0.107771; $16.103.270.957.074,00 
07/01/1985;0.107771;0.108369;0.107163;0.107163; $20.050.261.813.638,00 
08/01/1985;0.107163;0.108369;0.106236;0.106236; $16.555.253.608.532,00 
09/01/1985;0.108987;0.110513;0.108987;0.108987; $19.558.860.592.732,00 
